id,book_id,user_id
1,36506,8609
2,28118,8609
3,41767,8609
4,558,8609
5,27637,8609
6,43913,257542
7,4822,257542
8,35563,257542
9,11420,257542
10,4409,257542
11,27429,127590
12,15172,127590
13,19402,127590
14,15148,127590
15,5767,127590
16,49909,243973
17,28216,243973
18,36169,243973
19,1678,243973
20,3268,243973
21,10617,81425
22,39500,81425
23,36733,81425
24,18799,81425
25,27518,81425
26,24553,30205
27,47108,30205
28,45582,30205
29,13129,30205
30,26695,30205
31,30900,264284
32,46626,264284
33,39364,264284
34,21627,264284
35,24052,264284
36,38245,80947
37,26889,80947
38,20251,80947
39,12362,80947
40,5763,80947
41,3278,177874
42,42391,177874
43,18984,177874
44,24407,177874
45,26114,177874
46,14532,270465
47,946,270465
48,14262,270465
49,40505,270465
50,8188,270465
51,10072,237027
52,43803,237027
53,29495,237027
54,3607,237027
55,37902,237027
56,34036,4096
57,13996,4096
58,42277,4096
59,17689,4096
60,16969,4096
61,15560,151818
62,34997,151818
63,19214,151818
64,38484,151818
65,48151,151818
66,20544,19261
67,17414,19261
68,18326,19261
69,33302,19261
70,22723,19261
71,14092,95489
72,27748,95489
73,14531,95489
74,18800,95489
75,30302,95489
76,31477,127584
77,37349,127584
78,8816,127584
79,37105,127584
80,29223,127584
81,22709,74797
82,36668,74797
83,4312,74797
84,4652,74797
85,49930,74797
86,33100,277518
87,21096,277518
88,10289,277518
89,19668,277518
90,4838,277518
91,21329,14951
92,42985,14951
93,45761,14951
94,39733,14951
95,502,14951
96,24621,83051
97,29990,83051
98,14771,83051
99,44812,83051
100,349,83051
101,1465,187393
102,39801,187393
103,45549,187393
104,35752,187393
105,45542,187393
106,32440,171653
107,39118,171653
108,27265,171653
109,48680,171653
110,19571,171653
111,10300,57934
112,24262,57934
113,5332,57934
114,26747,57934
115,16115,57934
116,12248,51061
117,11477,51061
118,48637,51061
119,13093,51061
120,3349,51061
121,26628,80077
122,39416,80077
123,8638,80077
124,43129,80077
125,16135,80077
126,41069,251409
127,44886,251409
128,43197,251409
129,10187,251409
130,4961,251409
131,19254,208197
132,25243,208197
133,33624,208197
134,12021,208197
135,10768,208197
136,44902,214386
137,35168,214386
138,25935,214386
139,3563,214386
140,21994,214386
141,11351,53841
142,26560,53841
143,12846,53841
144,22206,53841
145,12675,53841
146,7965,165389
147,28738,165389
148,20143,165389
149,26708,165389
150,43918,165389
151,23510,224693
152,22100,224693
153,31476,224693
154,20276,224693
155,23209,224693
156,12455,276048
157,5426,276048
158,2940,276048
159,20603,276048
160,35146,276048
161,36249,26671
162,20580,26671
163,44578,26671
164,37106,26671
165,41246,26671
166,33334,121547
167,30540,121547
168,45416,121547
