User-ID;ISBN;Book-Rating
276726;0155061224;5
276729;052165615X;3
276729;0521795028;6
276736;3257224281;8
276737;0600570967;6
276744;038550120X;7
276745;342310538;10
276747;0060517794;9
276747;0671537458;9
276747;0679776818;8
276747;0943066433;7
276747;1885408226;7
276748;0747558167;6
276751;3596218098;8
276754;0684867621;8
276755;0451166892;5
276760;8440682697;10
276762;0380711524;5
276762;3453092007;8
276762;3453213025;3
276762;N3453124715;4
276768;9057868059;4
276772;0553572369;7
276772;3499230933;10
276772;3596151465;10
276774;3442136644;9
276780;8484330478;7
276780;8484332039;7
276786;2864322102;6
276786;8437606322;8
276786;8466300821;6
276786;8478442588;6
276788;0345443683;8
276788;043935806X;7
276788;055310666X;10
276796;0330332775;5
276798;0006379702;5
276798;3442131340;7
276798;3548603203;6
276800;1562827898;7
276804;0440498058;8
276808;0395547032;10
276811;0440414121;10
276812;8879839993;8
276813;8423996565;8
276813;8426449476;8
276813;8426449573;6
276813;8478884831;8
276813;8478885218;6
276813;8478885463;6
276813;8478886044;8
276814;0091830893;8
276814;0586207414;7
276814;0812571029;9
276820;0140260498;9
276822;0060096195;10
276822;0141310340;9
276822;0142302198;10
276822;0156006065;9
276822;0375821813;9
276822;038076041X;10
276822;0439401399;6
276822;0552546933;9
276822;0689804458;8
276822;0699854289;10
276822;0786812508;9
276822;0786817070;10
276822;0805057706;10
276822;1551925060;8
276822;1573248533;10
276827;000651118X;7
276828;2253150711;7
276830;0440225825;9
276832;0345446860;5
276835;3125785006;10
276837;0380005239;5
276842;3809407536;7
276847;3257200552;5
276847;3404145909;8
276847;3404148576;8
276847;3404921178;7
276847;3423071516;10
276847;3426029553;8
276847;3426671298;8
276847;344215121X;9
276847;3442413508;10
276847;3442422035;9
276847;3442435773;8
276847;3442437717;7
276847;3442441080;10
276847;3442444020;8
276847;3442446414;10
276847;3442448530;7
276847;3442449820;9
276847;3453137442;6
276847;347354034X;7
276847;3492231322;9
276847;3499222213;7
276847;3499228297;6
276847;3499433443;8
276847;3506464078;10
276847;3551551677;10
276847;3551551685;10
276847;3551551693;10
276847;3551551936;10
276847;359621078X;9
276847;3608932240;7
276847;360893541X;10
276847;3608935428;10
276847;3608935436;10
276847;3809024589;8
276847;3821815191;10
276847;3932069234;5
276848;3462026062;8
276850;0449217264;7
276853;8420457477;1
276853;8448034023;7
276854;0671034944;5
276854;074931012X;5
276857;8439598459;6
276859;0140252517;6
276859;0517642689;7
276859;077104450X;8
276859;0789706032;8
276859;0836218833;10
276859;0836220889;10
276859;088365721X;9
276859;1559712252;6
276859;1567616089;8
276861;0141011904;9
276861;3423201509;10
276861;3423206616;8
276861;344242529;9
276861;3446200452;8
276861;349223903X;6
276861;3499231603;9
276861;360893541X;9
276861;3608935428;9
276861;3608935436;9
276861;3704320196;6
276861;3886807843;8
276862;1569312435;9
276862;1892213141;8
276863;8530805461;10
276866;3257218516;3
276866;3404126343;8
276866;3404139178;9
276866;3404143299;7
276866;340645724X;3
276866;3426192543;5
276866;3442443806;4
276866;345309221X;8
276866;3453108361;7
276866;3453130901;5
276866;3809410357;5
276870;9026935722;6
276872;0425167097;8
276872;042518109X;8
276872;0425188221;7
276872;8500010452;4
276872;8501023450;3
276872;8571648972;10
276872;8588615126;8
276872;8589885291;8
276873;009975181X;7
276875;00273755;7
276875;014366020444;8
276875;8496075850;8
276875;8804407808;6
276875;8804464895;7
276875;8807810751;7
276875;880781112X;6
276875;8817106100;6
276875;8817112917;8
276875;8833908488;4
276875;8838910987;8
276875;8846200624;8
276875;88741800047;8
276875;8876846565;7
276875;8877825200;2
276875;8879285513;6
276875;8879285645;6
276875;8887432252;8
276875;8888424121;8
276878;0449210197;6
276879;8817151068;7
276884;8496280012;7
276884;B158991965;6
276887;0064430227;5
276887;0812533550;9
276888;8806162160;6
276896;0440241537;10
276904;0375901582;10
276904;0439317746;5
276904;0440228840;10
276904;0440414121;10
276904;0738205737;5
276905;0060542845;8
276905;0449148831;5
276911;8420430943;8
276911;8420636282;9
276911;8432205311;9
276912;000225669X;6
276912;0099549611;6
276915;042513976X;7
276916;0441008291;8
276925;002542730X;10
276925;0099414732;7
276925;0140154078;6
276925;0194216748;5
276925;0385504209;8
276925;0553275283;8
276925;0582530431;9
276925;063403541X;6
276925;1400002672;8
276925;840149236X;5
276925;8420432113;5
276925;8420444367;9
276925;8422655500;9
276925;8422657104;9
276925;8423976645;8
276925;8426109799;8
276925;8474104823;4
276925;950491036X;10
276927;0749336145;10
276927;1899344705;5
276928;059030271X;5
276928;0590470108;7
276928;0671021354;10
276928;0671026283;10
276928;0671027506;10
276929;2020101653;10
276929;202011528X;5
276929;20202006935;8
276929;20203119888;8
276929;2020564777;6
276929;2070386023;5
276929;2070394956;5
276929;2070404587;10
276929;2070404706;8
276929;2253030570;8
276929;2253171670;8
276929;2253172367;8
276929;2264010991;5
276929;2264018194;3
276929;2264024674;5
276929;226402593X;3
276929;2264027568;5
276929;226403114;5
276929;2264031158;6
276929;2264036036;10
